deployment_id,total_lines,files_changed,touches_migrations,touches_ci,touches_helm,touches_build,test_ratio,coverage,failed
2026-05-02-a,120,4,0,0,0,0,0.42,0.86,0
2026-05-05-b,60,2,0,0,1,0,0.10,0.85,0
2026-05-09-c,940,22,1,0,1,1,0.08,0.81,1
2026-05-12-d,310,9,0,1,0,0,0.35,0.84,0
2026-05-16-e,1500,31,1,1,1,0,0.05,0.79,1
2026-05-20-f,85,3,0,0,0,0,0.55,0.87,0
2026-05-27-g,410,12,0,0,1,1,0.22,0.82,0
2026-06-03-h,780,18,1,0,0,0,0.12,0.80,1
2026-06-10-i,150,5,0,0,0,0,0.60,0.88,0
2026-06-17-j,520,14,0,1,1,0,0.18,0.83,0
