lat;lng;name;portsCount;portsComment
46.411294;30.727486;TOKA #11 Vuzovskii (м. Одеса, Люстдорфська дорога, 140/1);3;\n        \n         Type 1 - невідомий - 14.99 ₴/⚡ Type 1 - невідомий - 14.99 ₴/⚡ Type 1 - невідомий - 14.99 ₴/⚡
50.428354;30.541407;TOKA #16 KOGA (м. Київ, вул. Генерала Алмазова, 9);2;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
46.388825;30.710899;TOKA #28 Elefant [Nissan] (м. Одеса, вул. Академіка Вільямса, 89);1;\n        \n         Type 1 - невідомий - 14.99 ₴/⚡
46.38685;30.704973;TOKA #29 METRO (Одеська обл., Одеський р-н, с. Лиманка, просп. Гуляєва полковника, ж/м Дружний, буд.101-м);1;\n        \n         Type 2/Type 1 - невідомий - 13.99 ₴/⚡
50.47173;30.477528;TOKA #30 Promenada (м. Київ, вул. Овруцька, 18);1;\n        \n         Type 2/Type 1 - невідомий - 13.99 ₴/⚡
50.406421;30.535177;TOKA #31 ILTA [Peugeot] (м. Київ, Залізничне шосе, 6);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.445769;30.4925;TOKA #38 Ukraina parking (м. Київ, пл. Перемоги, 3);3;\n        \n         Type 2 Plug - вільний - 14.99 ₴/⚡ Type 2 - вільний - 14.99 ₴/⚡ Type 1 - зайнятий - 14.99 ₴/⚡
50.425803;30.592954;TOKA #40 Parking (м. Київ, Дніпровська набережна, 7);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡
46.437937;30.769446;TOKA #45 KADORR restaurant (м. Одеса, Французький Бульвар, 66/3);3;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - відключений - 13.99 ₴/⚡ Type 2 - вільний - 13.99 ₴/⚡
46.435505;30.758128;TOKA #72 KADORR City Mall (м. Одеса, вул. Генуезська, 24б);1;\n        \n         Type 2/Type 1 - вільний - 14.99 ₴/⚡
46.594379;30.803064;TOKA #75 Kopeika (м. Одеса, просп. Добровольського, 130);1;\n        \n         Type 2/Type 1 - невідомий - 14.99 ₴/⚡
50.47156;30.629973;TOKA #76 Bdzhilka (м.Київ, вул. Шолом-Алейхема, 10а);1;\n        \n         Type 2/Type 1 - вільний - 14.99 ₴/⚡
46.442486;30.714405;TOKA #83 Kopeika (м. Одеса, вул. Малиновського, 51);1;\n        \n         Type 2 - вільний - 14.99 ₴/⚡
50.431085;30.617644;TOKA #84 Gimnazia A+ (Київ, вул. Березнева, 17);1;\n        \n         Type 2/Type 1 - зайнятий - 12.99 ₴/⚡
50.446109;30.534903;TOKA #91 LYPKY (м. Київ, вул. Шовковична, 6/15);1;\n        \n         Type 2/Type 1 - невідомий - 0.00 ₴/⚡
50.429955;30.594386;TOKA #1122 UkrGazBank (м.Київ, вул. Івана Миколайчука, 1А);3;\n        \n         Type 1 - зайнятий - 14.99 ₴/⚡ Type 2 - вільний - 14.99 ₴/⚡ Type 1 - зайнятий - 14.99 ₴/⚡
48.168967;23.294843;TOKA #94 MOECO (м. Хуст, вул. Івана Франка, 39);3;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
48.449735;22.725264;TOKA #99 Gavan (м. Мукачево, вул. Перемоги, 2Е);3;\n        \n         Type 2 - вільний - 14.00 ₴/⚡ Type 1 - відключений - 14.00 ₴/⚡ Type 1 - вільний - 14.00 ₴/⚡
50.439846;30.515469;ТОКА #2001 Credit Agricole (вул. Пушкінська 42/2 , м. Киев);2;\n        \n         Type 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡
50.441261;30.448225;TOKA #312 Campus (вул. Нижньоключова, 14,Київ, 02000);7;\n        \n         Type 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡ Type 2 - зайнятий - 0.00 ₴/⚡ Type 2 - зайнятий - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡ Type 2 - вільний - 0.00 ₴/⚡
48.607781;22.270322;TOKA #2058 MOECO Energy (м. Ужгород, вул. Героїв 101-ї бригади, 9);3;\n        \n         CHAdeMO - вільний - 15.99 ₴/⚡ CCS 2 - вільний - 15.99 ₴/⚡ Type 2 Plug - вільний - 14.99 ₴/⚡
50.459721;30.626887;TOKA #104 OKKO Gas Station (м. Київ, просп. Броварський, 20з);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
50.471444;30.356116;TOKA #110 OKKO Gas Station (м. Київ, пр-т Академіка Палладіна, 33);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.490524;30.471537;TOKA #108 OKKO Gas Station (м. Київ, вул. Семена Скляренка, 4);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
49.786369;23.695364;TOKA #145 OKKO Gas Station (Городок, вул. Львівська, 320-Б);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
49.247759;23.856451;TOKA #147 OKKO Gas Station (Стрий, вул. Болехівська, 49);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
49.924708;36.456487;TOKA #152 OKKO Gas Station (Мала Рогань, вул. Шосейна, 2);1;\n        \n         Type 2/Type 1 - невідомий - 12.99 ₴/⚡
48.665191;33.082186;TOKA #151 OKKO Gas Station (м. Олександрія, вул. Куйбишева, 95);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
48.307711;23.046004;TOKA #109 Universam Hosen (м. Іршава, вул. Білецька 51/1);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
46.569557;30.798757;TOKA #112 KADORR (м. Одеса, вул. Марсельська, 35б);3;\n        \n         Type 2 - вільний - 14.99 ₴/⚡ Type 1 - вільний - 14.99 ₴/⚡ Type 1 - вільний - 14.99 ₴/⚡
47.967334;23.857919;TOKA #128 Fix-El Market TISA (с.Солотвино, вул. Спортивна, 1, Тячiвський район, Закарпатська обл.);2;\n        \n         Type 2 - невідомий - 12.99 ₴/⚡ Type 1 - невідомий - 12.99 ₴/⚡
50.449545;30.481475;TOKA #129 Ministry of Infrastructure (м. Київ, проспект Перемоги, 14);3;\n        \n         Type 2 - вільний - 14.99 ₴/⚡ Type 1 - вільний - 14.99 ₴/⚡ Type 2 Plug - вільний - 14.99 ₴/⚡
50.406685;30.609269;TOKA #216 RiverMall  floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
46.450164;30.638567;TOKA #156 7-e NEBO (Смт. Авангард, Житловий масив 7е Небо, вул. Торгова, 17);3;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡
50.405013;30.680027;TOKA #158 PROM (м. Київ, вул. Харківське шосе, 201/203);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
48.626666;22.306158;TOKA #159 Clever Gym (м. Ужгород вул. Другетів, 73);2;\n        \n         Type 2 - невідомий - 13.99 ₴/⚡ Type 1 - невідомий - 13.99 ₴/⚡
48.421483;22.170205;TOKA #163 Solomon (вул. Європейська, буд. 3,с. Соломоново, Закарпатська обл.);2;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
47.952642;24.039803;ТОКА #169 Fix-El Lakomka (вулиця Грушевського, Луг, Закарпатська область, 90616);3;\n        \n         Type 2 - невідомий - 12.99 ₴/⚡ Type 1 - невідомий - 12.99 ₴/⚡ Type 1 - невідомий - 12.99 ₴/⚡
48.833131;23.067636;ТОКА #171  (Закарпатська обл., Воловецький р-н, с.Білосовиця, 45 (Київ - Чоп 708 км));2;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
48.576272;22.355011;TOKA #174 Zolota Gora (с.Барвінок, урочище «Золота гора», Ужгород, Закарпатська область, 89425);3;\n        \n         Type 2 - відключений - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 1 - відключений - 12.99 ₴/⚡
48.429044;22.173886;TOKA #175 Europe (Соломоново, вул. Леніна, 89);2;\n        \n         Type 2 - невідомий - 12.99 ₴/⚡ Type 1 - невідомий - 12.99 ₴/⚡
50.431418;30.539659;TOKA #972 Caffe Pal  (м.Київ, вул.Немировича-Данченка, 1);1;\n        \n         Type 2 Plug - невідомий - 14.99 ₴/⚡
48.215763;22.653177;TOKA #181 Apartamenty Na Leva (вул. Суворова, 40, Берегове, Закарпатська область);2;\n        \n         Type 2 - вільний - 13.99 ₴/⚡ Type 1 - вільний - 13.99 ₴/⚡
50.488916;30.524554;TOKA #184 OKKO Gas Station (м. Київ, пр-т. Героїв Сталінграду, 1-А);1;\n        \n         Type 2/Type 1 - невідомий - 12.99 ₴/⚡
49.831684;23.997614;TOKA #193 FOOD GARAGE (м. Львів, вул. Героїв УПА, 72);2;\n        \n         Type 2 - вільний - 14.99 ₴/⚡ Type 2 - вільний - 14.99 ₴/⚡
48.346291;33.498564;TOKA #196 Gastronom/21 BuKet/Zaryadka (бульвар Свободи, 54, Жовті Води, Дніпропетровська область);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.40663;30.609229;TOKA #215 RiverMall  floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
50.406735;30.609169;TOKA #222 RiverMall  floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
50.406521;30.609149;TOKA #213 RiverMall floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.406575;30.609189;TOKA #214 RiverMall floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.406571;30.609049;TOKA #219 RiverMall  floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.406625;30.609089;TOKA #220 RiverMall floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.406411;30.609069;TOKA #211 RiverMall floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡
50.406466;30.609109;TOKA #212 RiverMall floor 2 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡
50.406461;30.608969;TOKA #217 RiverMall floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡
50.406516;30.609009;TOKA #218 RiverMall floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 Plug - вільний - 12.99 ₴/⚡
50.40668;30.609129;TOKA #221 RiverMall floor 4 (м. Київ, вул. Дніпровська набережна, 12);1;\n        \n         Type 2 - вільний - 12.99 ₴/⚡
50.458159;30.460798;TOKA #199  Kyiv Zoo (вул. Зоологічна, 5, Київ, Україна, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.458099;30.460984;TOKA #200 Kyiv Zoo (вулиця Зоологічна, 5, Київ, Україна, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
46.486677;30.734288;TOKA #189 BRIK (м. Одеса. провулок Маяковського, 7);2;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.438292;30.353022;ТОКА #207 Schasliviy (вул. Оксамитова, 11 Петропавлівська Борщагівка Київська обл.);3;\n        \n         Type 2 - вільний - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡ Type 1 - зайнятий - 12.99 ₴/⚡
50.458152;30.461059;TOKA #208 Kyiv Zoo (вул. Зоологічна, 5, Київ, Україна, 02000);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 2 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡
50.422823;30.504474;TOKA #210 Horizon Park (м. Київ, вул. Миколи Амосова, 12);2;\n        \n         Type 2 - невідомий - 12.99 ₴/⚡ Type 1 - невідомий - 12.99 ₴/⚡
48.622343;24.583454;TOKA #223 OKKO Gas Station By GreenLife (вул.Вокзальна, 8, Надвірна, Івано-Франківська область);2;\n        \n         Type 2 - вільний - 15.99 ₴/⚡ Type 1 - відключений - 15.99 ₴/⚡
50.421135;30.427617;TOKA #230 OCTA (м. Київ, вул. Миколи Шепелєва, 2);3;\n        \n         Type 1 - вільний - 12.99 ₴/⚡ Type 1 - вільний - 12.99 ₴/⚡ Type 2 Plug - вільний - 12.99 ₴/⚡
50.431031;30.393184;TOKA #1176 Kurbasa (м. Київ, просп. Леся Курбаса, 1-Б);1;\n        \n         Type 2/Type 1 - вільний - 12.99 ₴/⚡
